player_id,short_name,value_eur,age,club_name,nationality_name
228638,B. Stevenson,1100000,24,Forest Green Rovers,England
262479,Rubén Sánchez,3800000,21,Espanyol,Spain
265178,Matheus Bueno,950000,22,Gil Vicente,Brazil
229319,J. Cádiz,1700000,26,Famalicão,Venezuela
190362,T. Pukki,4800000,31,Norwich City,Finland
237700,T. Kehinde,2100000,23,Randers,Nigeria
255916,Kim Min Gyu,170000,22,Pohang Steelers,Korea Republic
200667,M. Power,1200000,28,Wigan Athletic,England
234930,Pedro Rebocho,2500000,27,Lech Poznań,Portugal
248166,L. Johnsen,2300000,21,Randers,Norway
269124,Liao Lei,70000,22,Shenzhen,China PR
260708,M. García,2000000,22,Sarmiento,Argentina
205972,R. Bentancourt,1000000,28,Peñarol,Uruguay
204348,J. Allansson,400000,28,Halmstad,Sweden
244523,Javi Hernández,1900000,24,Girona,Spain
243125,S. Strand,1200000,29,Elfsborg,Sweden
227633,B. Ramselaar,5000000,26,FC Utrecht,Netherlands
186651,G. Vural,825000,33,Antalyaspor,Turkey
208645,J. Moore-Taylor,750000,27,Forest Green Rovers,England
240395,Chen Quanjiang,325000,20,Guangzhou Evergrande,China PR
266683,J. Castellano,120000,17,New York RB,Venezuela
244279,B. Ekincier,550000,23,Waldhof Mannheim,Azerbaijan
252935,L. Fernández,12500000,22,Toluca,Uruguay
245084,M. Busi,2400000,21,Reims,Belgium
248178,B. Singh,275000,26,Mumbai City,India
184980,I. Bermingham,170000,32,St Patrick's,Republic of Ireland
251549,A. Assal,1400000,20,AFC Wimbledon,Morocco
246837,N. Almas,300000,22,Al Feiha,Saudi Arabia
205005,L. Droppa,500000,33,Voluntari,Czech Republic
254225,Anderson Oliveira,1900000,22,Portimonense,Brazil
257147,R. Malone,800000,28,Hansa Rostock,United States
244661,Vitinho,2600000,22,Burnley,Brazil
264468,B. Brooks,200000,18,Lincoln City,Republic of Ireland
221498,H. Al Mansour,525000,28,Al Nassr,Saudi Arabia
248688,O. Cooper,1300000,21,Newport County,Wales
268325,T. van Assema,130000,19,IFK Göteborg,Sweden
254877,D. Tono,1600000,22,Kawasaki Frontale,Japan
235397,N. Freeman,500000,25,Wycombe Wanderers,England
227982,Jang Yun Ho,675000,24,Jeonbuk Motors,Korea Republic
228136,J. Castro,675000,24,La Equidad,Colombia
264461,B. Ciepiela,400000,20,Legia Warszawa,Poland
179528,Xavi Torres,850000,35,Lugo,Spain
232682,A. Al Suwat,375000,26,Al Faisaly,Saudi Arabia
235317,J. Mosquera,4700000,31,Viktoria Plzeň,Colombia
212912,Park Ji Soo,1600000,28,Sangju Sangmu,Korea Republic
232603,K. Yoshino,825000,26,Vegalta Sendai,Japan
252226,M. Rostkowski,325000,21,Górnik Zabrze,Poland
231913,F. Aursnes,8500000,25,Feyenoord,Norway
263492,G. Dănuleasă,350000,18,SSC Farul,Romania
262140,Carlos Domínguez,2500000,20,Celta de Vigo,Spain
